Study_Hours,Marks
4.1,44
9.5,94
7.5,76
6.2,57
2.0,23
2.0,25
1.1,19
8.7,86
6.2,61
7.2,71
0.7,14
9.7,98
8.4,83
2.5,30
2.2,26
2.2,28
3.4,35
5.5,56
4.6,47
3.3,31
6.3,65
1.8,22
3.3,36
4.0,42
4.8,46
8.0,79
2.4,26
5.4,53
6.1,62
0.9,14
6.3,70
2.1,25
1.1,16
9.5,95
9.7,91
8.2,82
3.4,37
1.4,25
7.0,70
4.7,50
1.7,21
5.2,50
0.8,16
9.1,93
3.0,35
6.8,66
3.5,42
5.4,52
5.7,60
2.3,33
9.7,94
7.9,78
9.4,94
9.0,88
6.2,59
9.3,93
1.3,14
2.4,29
0.9,10
3.6,43
4.2,42
3.1,33
8.4,87
3.9,38
3.2,36
5.7,63
1.8,17
8.1,82
1.2,17
9.9,100
7.8,75
2.4,23
0.6,12
8.2,83
7.2,74
7.4,76
7.8,77
1.2,17
3.9,42
1.6,18
8.7,93
6.4,67
3.6,35
1.1,17
3.5,35
3.6,41
7.4,78
6.6,65
8.9,92
5.0,53
1.6,22
7.3,80
7.7,77
5.8,57
7.8,76
5.2,51
5.5,57
4.6,49
0.7,12
1.5,21
